Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
SpareBank 1 Ringerike Hadeland,LOfavør Kaskofritt Billån inntil 100%,16.65,4599.0,0.0,95.0,30000.0,100000.0,18,100,5,100.0
SpareBank 1 Lom og Skjåk,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Haltdalen Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Romerike Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Sparebank 68° Nord,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Hallingdal Valdres,Båt over 7 meter inntil 100 % finansiering,8.9,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
Sparebanken Sør,Kontokreditt,19.0,0.0,2.0,0.0,5000.0,50000.0,18,100,5,100.0
SpareBank 1 Finans Midt-Norge AS,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Oslofjord Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Ørskog Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
JBF Bank og Forsikring,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Høland og Setskog Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
NORDirekte (Skagerrak Sparebank),Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Jæren Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Strømmen Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Kvinesdal Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 SMN,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Rørosbanken Røros Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Finans Midt-Norge AS,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Jæren Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Melhusbanken,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
NORDirekte (Skagerrak Sparebank),Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Odal Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Marker & Eidsberg Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 SMN,Båt LO over 7 meter inntil 65 % finansiering,7.35,4500.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
Selbu Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Birkenes Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Nordmøre,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Evje og Hornnes Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Gudbrandsdal,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Rørosbanken Røros Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
SpareBank 1 SMN,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
Høland og Setskog Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Bjugn Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Nordmøre,Båt over 7 meter inntil 100 % finansiering,8.9,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
Tolga-Os Sparebank,Forbrukslån,20.1,2500.0,0.0,0.0,0.0,500000.0,18,100,5,0.0
Tolga-Os Sparebank,Personlig kreditt,20.1,2500.0,0.0,0.0,0.0,500000.0,18,100,5,100.0
SpareBank 1 Nord-Norge,Elbil inntil 100%,8.5,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,100.0
Express Bank,Refinansiering,10.49,950.0,1.0,45.0,50000.0,500000.0,23,100,15,0.0
Grue Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Haltdalen Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Sparebank 1 Finans Nord-Norge AS,Elbil inntil 100%,8.5,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,100.0
SpareBank 1 Østfold Akershus,LOfavør Caravanlån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,Båt LO over 7 meter mellom 65 - 80 % finansiering,7.95,4500.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Aurskog Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Hegra Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Lom og Skjåk,Båt LO over 7 meter inntil 100 % finansiering,8.6,4500.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
Skagerrak Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Hallingdal Valdres,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Lillesands Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Rørosbanken Røros Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Aurskog Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Melhusbanken,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Bjugn Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Skagerrak Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Askim og Spydeberg Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Eika digitalbank AS,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Bjugn Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån mellom 65 - 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Skagerrak Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Skue Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
JBF Bank og Forsikring,Kontokreditt,15.25,0.0,0.0,0.0,1000.0,200000.0,18,100,10,100.0
Sogn Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Hallingdal Valdres,Båt LO over 7 meter inntil 100 % finansiering,8.6,4500.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
Vekselbanken,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
SpareBank 1 SMN,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån LO inntil 100 % finansiering,8.3,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
Skagerrak Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Sparebank 68° Nord,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Gudbrandsdal,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
SpareBank 1 Østfold Akershus,LOfavør Grønt billån inntil 65%,6.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,65.0
Berg Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Birkenes Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Nordmøre,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
Sparebanken DIN Telemark,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Sogn Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Haugesund Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
Berg Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Trøgstad Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Lom og Skjåk,Båt over 7 meter inntil 100 % finansiering,8.9,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
SpareBank 1 Hallingdal Valdres,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Valle Sparebank,Refinansiering,12.9,290.0,0.0,49.0,0.0,1000000000.0,20,100,5,0.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån inntil 100 % finansiering,8.6,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,100.0
SpareBank 1 Nordmøre,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Orkla Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån LO inntil 65 % finansiering,6.6,2690.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Sogn og Fjordane,Båt over 7 meter mellom 65 - 80 % finansiering,8.25,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,80.0
Oslofjord Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Sør-Norge,LOfavør Kaskofritt Billån,12.75,3733.0,0.0,70.0,30000.0,100000.0,18,100,5,100.0
SpareBank 1 SMN,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Sør-Norge,Kaskofritt Billån,13.75,3733.0,0.0,70.0,30000.0,100000.0,18,100,5,100.0
Selbu Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Rørosbanken Røros Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Rindal Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
SpareBank 1 Østfold Akershus,LOfavør Grønt billån inntil 80%,7.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,80.0
SpareBank 1 Finans Midt-Norge AS,Caravanlån/bobillån LO mellom 65 - 80 % finansiering,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
Nidaros Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Grue Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
"re:member (EnterCard Norge, filial av EnterCard Group AB)",re:member forbrukslån,12.0,990.0,0.0,45.0,10000.0,350000.0,18,75,5,0.0
Gildeskål Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Sogn og Fjordane,Båt over 7 meter inntil 100 % finansiering,8.9,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,100.0
Soknedal Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Grue Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Østfold Akershus,LOfavør Kaskofritt Billån inntil 100%,16.65,4599.0,0.0,95.0,30000.0,100000.0,18,100,5,100.0
SpareBank 1 Gudbrandsdal,Caravanlån/bobillån mellom 65 - 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Trøgstad Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
SpareBank 1 Lom og Skjåk,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Odal Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Voss Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Valdres Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Nordmøre,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
SpareBank 1 Lom og Skjåk,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
SpareBank 1 Hallingdal Valdres,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Ørland Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Gudbrandsdal,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
Soknedal Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
Rindal Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel mellom 65 - 80 % finansiering,8.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Sparebanken Vest,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Oslofjord Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
SpareBank 1 Gudbrandsdal,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
SpareBank 1 SMN,Caravanlån/bobillån mellom 65 - 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Drangedal Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Tinn Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Østfold Akershus,LOfavør MC lån inntil 100%,8.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Nordmøre,LOfavør Depositumslån,13.2,500.0,0.0,0.0,0.0,40000.0,18,100,5,0.0
Tinn Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Lom og Skjåk,Båt under 7 meter - LO,9.2,2950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
SpareBank 1 SMN,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel inntil 65 % finansiering,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Hallingdal Valdres,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
Ørskog Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Spareskillingsbanken,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Sunndal Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Sparebanken Narvik,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel LO inntil 100 % finanisering,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
SpareBank 1 SMN,Caravanlån/bobillån inntil 100 % finansiering,8.6,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,100.0
Jæren Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Sogn og Fjordane,Båt over 7 meter inntil 65 % finansiering,7.65,6000.0,0.0,95.0,50000.0,1000000000.0,18,100,15,65.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel inntil 100 % finansiering,9.5,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
Søgne og Greipstad Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Sunndal Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Gudbrandsdal,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
Strømmen Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Kvinesdal Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
INSTABANK ASA,Personlån,10.2,900.0,0.0,45.0,5000.0,500000.0,23,80,5,0.0
Sparebanken Sør,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Sogn og Fjordane,Båt under 7 meter 20% egenkapital,9.7,3950.0,0.0,95.0,50000.0,350000.0,18,100,7,80.0
INSTABANK ASA,Refinansiering,10.2,900.0,0.0,45.0,5000.0,500000.0,23,80,5,0.0
SpareBank 1 Hallingdal Valdres,Caravanlån/bobillån inntil 100 % finansiering,8.6,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,100.0
Aasen Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Lom og Skjåk,Caravanlån/bobillån mellom 65 - 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
SpareBank 1 Nordmøre,Caravanlån/bobillån LO inntil 100 % finansiering,8.3,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
Gildeskål Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Grønt billån,8.49,950.0,0.0,0.0,5000.0,350000.0,20,100,5,100.0
SpareBank 1 Østfold Akershus,LOfavør MC lån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Strømmen Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel LO mellom 65 - 80 % finansiering,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
Oppdalsbanken,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Luster Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,Caravanlån/bobillån LO mellom 65 - 80 % finansiering,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
Skudenes & Aakra Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Tolga-Os Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Finans Midt-Norge AS,Kaskofritt Motorsykkel lån LO,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Nordmøre,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Nordmøre,Caravanlån/bobillån mellom 65 - 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Strømmen Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Jæren Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Tinn Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
Handelsbanken AB NUF,Tekna Billån 80%,6.65,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,8,80.0
SpareBank 1 Nordmøre,Caravanlån/bobillån inntil 100 % finansiering,8.6,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,100.0
Handelsbanken AB NUF,Tekna Båtlån 65%,6.65,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,5,65.0
Askim og Spydeberg Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Gudbrandsdal,Caravanlån/bobillån LO mellom 65 - 80 % finansiering,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
Høland og Setskog Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
Handelsbanken AB NUF,Juristforbundet Billån 80 %,6.65,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,8,80.0
Handelsbanken AB NUF,Juristforbundet Båtlån,6.65,900.0,0.0,45.0,50000.0,1000000000.0,18,100,5,65.0
SpareBank 1 Finans Midt-Norge AS,Motorsykkel LO inntil 65 % finansiering,7.4,2690.0,0.0,95.0,10000.0,10000000.0,18,100,10,65.0
Handelsbanken AB NUF,Akademiker Pluss Billån 80%,6.65,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,8,80.0
JBF Bank og Forsikring,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Handelsbanken AB NUF,Akademiker Pluss Båtlån 65%,6.65,1000.0,0.0,45.0,50000.0,1000000000.0,18,100,8,65.0
SpareBank 1 Lom og Skjåk,Caravanlån/bobillån LO inntil 100 % finansiering,8.3,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
Trøgstad Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Etnedal Sparebank,Forbrukslån uten sikkerhet,16.35,500.0,2.0,50.0,1000.0,200000.0,18,100,5,0.0
Marker & Eidsberg Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
SpareBank 1 Finans Midt-Norge AS,Kaskofritt Billån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Haugesund Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Lom og Skjåk,Caravanlån/bobillån inntil 100 % finansiering,8.6,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,100.0
Rindal Sparebank,Eika MC/ATV med 20 % til 35 % Egenkapital,8.85,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,80.0
SpareBank 1 Østfold Akershus,Lån til elbil 100%,8.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,100.0
SpareBank 1 SMN,Caravanlån/bobillån LO mellom 65 - 80 % finansiering,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
Haugesund Sparebank,Personkontokreditt,15.65,1500.0,0.2,50.0,0.0,500000.0,18,100,10,100.0
SpareBank 1 Lom og Skjåk,Caravanlån/bobillån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,65.0
Stadsbygd Sparebank,Båtlån under 7 meter 80%,9.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Tinn Sparebank,Kaskofritt billån,12.55,3000.0,0.0,85.0,30000.0,100000.0,18,70,5,100.0
SpareBank 1 SMN,Caravanlån/bobillån LO inntil 100 % finansiering,8.3,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,100.0
Odal Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Sogn Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
