Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
AS Financiering (Sparebanken Øst),Grønt billån m/ 20% egenkapital,7.1,2250.0,0.0,85.0,20000.0,10000000.0,18,100,10,80.0
SpareBank 1 Nordmøre,Kaskofritt Motorsykkel lån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Romerike Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Sør-Norge,LOfavør Billån Ung med 35 % egenkapital eller mer,5.69,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,65.0
SpareBank 1 Finans Østlandet AS,LOfavør MC lån inntil 65%,6.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,65.0
SpareBank 1 Ringerike Hadeland,LOfavør MC lån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Sør-Norge,LOfavør Billån Ung med 20-35 % egenkapital,6.29,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,80.0
Søgne og Greipstad Sparebank,Grønt billån  65%,6.65,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,65.0
Rogaland Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Haltdalen Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Sør-Norge,Billån Ung med 20-35 % egenkapital,7.29,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,80.0
NORDirekte (Skagerrak Sparebank),Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Ringerike Hadeland,LOfavør MC lån inntil 100%,8.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Sør-Norge,Billån Ung med 35 % egenkapital eller mer,6.69,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,65.0
SpareBank 1 Hallingdal Valdres,ATV/snøscooterlån inntil 80%,8.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Rørosbanken Røros Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Sør-Norge,LOfavør Billån med 35 % egenkapital eller mer,6.39,2200.0,0.0,70.0,50000.0,2000000.0,18,74,10,65.0
Tysnes Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Finans Østlandet AS,LOfavør MC lån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Sør-Norge,Billån Ung med 0-20 % egenkapital,8.19,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,100.0
SpareBank 1 SMN,ATV/snøscooterlån inntil 65%,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Orkla Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
AS Financiering (Sparebanken Øst),Caravanlån m/ 20% egenkapital,7.25,2750.0,0.0,95.0,1.0,10000000.0,18,100,10,80.0
SpareBank 1 Sør-Norge,LOfavør Billån med 20-35 % egenkapital,7.39,2200.0,0.0,70.0,50000.0,2000000.0,18,74,10,80.0
SpareBank 1 Østlandet,LOfavør MC lån inntil 100%,8.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
Hegra Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Aasen Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Sør-Norge,LOfavør Billån med 0-20 % egenkapital,8.19,2200.0,0.0,70.0,50000.0,2000000.0,18,74,10,100.0
