Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
"NORDEA BANK ABP, FIL...",5.5,0.0,50.0,0.0,60.0,30,18,100
"NORDEA BANK ABP, FIL...",5.14,3500.0,65.0,0,90.0,30,18,100
Evje og Hornnes Spar...,6.0,0,60.0,1000.0,90.0,30,18,33
Melhusbanken,6.15,0,75.0,1000.0,60.0,30,18,100
BONORD (DNB),5.89,0.0,65.0,0.0,100.0,1,18,100
"NORDEA BANK ABP, FIL...",5.09,0.0,50.0,0.0,90.0,30,18,100
Melhusbanken,6.45,0,50.0,1000.0,75.0,30,18,100
BONORD (DNB),5.93,0.0,65.0,0.0,60.0,30,18,100
SpareBank 1 SMN,5.64,2650.0,65.0,1200.0,85.0,30,18,100
Landkreditt Bank AS,6.5,0.0,0.0,500.0,75.0,2,18,99
BONORD (DNB),5.48,0.0,65.0,0.0,90.0,30,18,33
Soknedal Sparebank,5.5,0,60.0,0,75.0,30,18,33
"NORDEA BANK ABP, FIL...",5.14,0.0,50.0,0.0,90.0,30,18,100
BONORD (DNB),5.49,0.0,65.0,0.0,90.0,30,18,100
Melhusbanken,5.69,0,50.0,1000.0,50.0,30,18,100
SpareBank 1 SMN,5.44,2650.0,65.0,1200.0,50.0,30,18,100
Skandinaviska Enskil...,6.1,2500.0,100.0,0,60.0,5,18,100
"NORDEA BANK ABP, FIL...",5.04,0.0,50.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.09,0.0,50.0,0.0,90.0,30,18,100
SpareBank 1 SMN,5.54,2650.0,65.0,1200.0,75.0,30,18,100
SpareBank 1 SMN,5.64,2650.0,0.0,1200.0,60.0,30,18,100
BONORD (DNB),5.48,0.0,65.0,0.0,90.0,30,18,33
"NORDEA BANK ABP, FIL...",5.04,0.0,50.0,0.0,90.0,30,18,100
Voss Sparebank,5.39,0,65.0,0.0,85.0,10,18,100
"NORDEA BANK ABP, FIL...",5.09,0.0,50.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.14,0.0,50.0,0.0,90.0,30,18,100
